GeoFips,GeoName,2017,2018,2019
1000,Alabama,197566.6,200800.9,203383.9
2000,Alaska,54129.5,53249.6,53336.5
4000,Arizona,302455.4,313618.7,323894.3
5000,Arkansas,113885.2,115937.6,116790.9
6000,California,2541769.3,2643576.3,2739343.4
8000,Colorado,329960.6,342535.9,356773.6
9000,Connecticut,247358.5,249998.1,251495.1
10000,Delaware,60801.2,61735.1,64262.4
11000,District of Columbia,120898.9,123836.1,124990.3
12000,Florida,912966.2,943463.4,971619.2
13000,Georgia,524874.7,539300.3,558277.3
15000,Hawaii,78941.6,79854.7,79175.4
16000,Idaho,66980.5,71075.4,73912
17000,Illinois,755594.7,774065,777653.8
18000,Indiana,325841.7,337149.6,338350.1
19000,Iowa,170182.7,172929.4,172906
20000,Kansas,155407.9,158906.3,160182.3
21000,Kentucky,185866.5,188083.6,191355.5
22000,Louisiana,233774.4,236265.6,235947.6
23000,Maine,56662.6,58178.8,59433.9
24000,Maryland,366680.5,368643.9,369623.9
25000,Massachusetts,484413.8,502954.3,517727.1
26000,Michigan,457764.9,467830.4,467300.2
27000,Minnesota,328696.1,338524.5,340130.4
28000,Mississippi,101642.1,101131.5,101525.1
29000,Missouri,282174.2,285995.1,290842
30000,Montana,45910.5,46614.1,46788
31000,Nebraska,114480.9,116904.4,118286.5
32000,Nevada,145699.9,150711.6,156828.8
33000,New Hampshire,74107.3,75534.6,77126.5
34000,New Jersey,537045.1,550064.5,561842.8
35000,New Mexico,89032,90999.4,94872.3
36000,New York,1419583.6,1457995.8,1494736.4
37000,North Carolina,496726.5,504049.5,514624.9
38000,North Dakota,54083.1,55884,56247
39000,Ohio,590738.9,598917.1,611145.8
40000,Oklahoma,194256,197358.3,200710.9
41000,Oregon,205744.8,215208.8,219458.2
42000,Pennsylvania,694236.5,703946,716173.4
44000,Rhode Island,52608.8,52493.8,53225
45000,South Carolina,202494.3,207772.7,212482.8
46000,South Dakota,45878.2,46454.1,46641
47000,Tennessee,318412,322648.5,329111.6
48000,Texas,1664218.5,1729286.6,1785317.9
49000,Utah,154367.3,163327,171134.7
50000,Vermont,29500.9,29616.4,29902.8
51000,Virginia,466724.8,477819.8,487251.6
53000,Washington,482824.1,515629.9,535980.5
54000,West Virginia,71459.4,73114.2,72542.9
55000,Wisconsin,292311.2,299416,303891.2
56000,Wyoming,37429.1,37987.9,38628.4
