state,statecode,retention_rate_ave,sat_mid_score,act_mid_score
Alaska,AK,0.69159375,1128.0,22.0
Alabama,AL,0.5678594594594595,1130.0,23.0
Arkansas,AR,0.5878692307692308,1151.0,23.0
Arizona,AZ,0.6169051136363636,1162.0,23.0
California,CA,0.6997292730844793,1143.0,23.5
Colorado,CO,0.6233356164383562,1123.0,23.0
Connecticut,CT,0.69249140625,1120.0,24.0
District of Columbia,DC,0.599540625,1320.0,29.0
Delaware,DE,0.5647928571428571,938.0,20.0
Florida,FL,0.6723994382022472,1164.0,23.5
Georgia,GA,0.5853621323529412,1076.5,21.0
Hawaii,HI,0.5652904761904762,1098.0,22.5
Iowa,IA,0.6054499999999999,1135.0,23.0
Idaho,ID,0.7206382352941176,1140.0,23.0
Illinois,IL,0.6494746113989638,1111.5,23.0
Indiana,IN,0.6682138297872341,1106.5,23.0
Kansas,KS,0.5776228571428571,1094.0,21.5
Kentucky,KY,0.6101487341772152,1141.0,23.0
Louisiana,LA,0.6244723809523809,1130.0,23.0
Massachusetts,MA,0.7019984732824427,1183.0,26.0
Maryland,MD,0.6684118421052632,1113.0,23.0
Maine,ME,0.6472044117647059,1069.0,22.5
Michigan,MI,0.6768692857142857,1115.0,23.0
Minnesota,MN,0.6131337078651685,1150.0,23.0
Missouri,MO,0.6667428030303031,1135.0,23.0
Mississippi,MS,0.6149,1112.0,22.0
Montana,MT,0.5790155172413793,1174.5,24.0
North Carolina,NC,0.5882664516129031,1060.0,21.0
North Dakota,ND,0.6334404761904763,1092.0,22.0
Nebraska,NE,0.6139404761904762,1100.0,22.0
New Hampshire,NH,0.6945772727272728,1180.0,24.5
New Jersey,NJ,0.6895910071942446,1096.0,22.0
New Mexico,NM,0.5739232558139534,1085.0,21.0
Nevada,NV,0.67011,1113.0,22.0
New York,NY,0.6938511396011396,1171.0,25.0
Ohio,OH,0.6593252,1128.0,23.0
Oklahoma,OK,0.5561474747474747,1087.5,21.5
Oregon,OR,0.6213074626865672,1139.0,23.0
Pennsylvania,PA,0.7067006644518272,1107.5,23.5
Rhode Island,RI,0.708271052631579,1294.0,28.0
South Carolina,SC,0.6030522471910112,1047.0,21.0
South Dakota,SD,0.6717021739130434,1135.0,23.0
Tennessee,TN,0.6618335820895522,1137.5,23.0
Texas,TX,0.6416710447761194,1074.0,21.0
Utah,UT,0.6815593220338984,1201.0,25.0
Virginia,VA,0.6350141592920354,1120.0,23.0
Vermont,VT,0.606075,1193.0,25.0
Washington,WA,0.7063858208955224,1145.0,24.0
Wisconsin,WI,0.6712951219512195,1144.5,23.0
West Virginia,WV,0.6053181818181819,1050.0,21.0
Wyoming,WY,0.500255,1202.0,25.0
