school,test optional?,number of applicants,accept rate
Stanford University,Yes,47452,0.043
Harvard College,Yes,42749,0.047
Princeton University,Yes,35370,0.055
Columbia University,Yes,40203,0.055
Yale University,Yes,36844,0.061
California Institute of Technology,Yes,8367,0.064
Massachusetts Institute of Technology,Yes,21706,0.067
Brown University,Yes,38674,0.071
University of Chicago,Yes,32283,0.073
Pomona College,Yes,10401,0.07400000000000001
University of Pennsylvania,Yes,44961,0.077
Dartmouth College,Yes,23650,0.079
Bowdoin College,Yes,9332,0.08800000000000001
Duke University,Yes,35767,0.08900000000000001
Swarthmore College,Yes,11442,0.08900000000000001
Northwestern University,Yes,40585,0.091
Vanderbilt University,Yes,37310,0.091
Claremont McKenna College,Yes,6066,0.10300000000000001
Johns Hopkins University,Yes,29129,0.106
Cornell University,Yes,49114,0.109
Rice University,Yes,20923,0.111
Amherst College,Yes,10569,0.113
Barnard College,Yes,9320,0.11800000000000001
Bates College,Yes,8222,0.121
University of California—​Los Angeles,Yes,111322,0.12300000000000001
Tulane University,Yes,42185,0.129
University of Southern California,Yes,64352,0.13
Williams College,Yes,9560,0.13
Colby College,Yes,12313,0.13
Pitzer College,Yes,4358,0.133
Colorado College,Yes,9456,0.135
Harvey Mudd College,Yes,4045,0.13699999999999998
Georgetown University,Yes,22872,0.145
University of California—​Berkeley,Yes,89621,0.14800000000000002
Tufts University,Yes,22766,0.15
Washington University in St. Louis,Yes,31320,0.15
Middlebury College,Yes,9754,0.154
Carnegie Mellon University,Yes,27634,0.154
University of Notre Dame,Yes,22200,0.158
The Cooper Union,Yes,2447,0.16
New York University,Yes,79462,0.162
Haverford College,Yes,4963,0.163
Wesleyan University,Yes,13264,0.165
Hamilton College,Yes,8279,0.165
Northeastern University,Yes,62263,0.18100000000000002
Davidson College,Yes,5982,0.18100000000000002
Emory University,Yes,27559,0.185
Carleton College,Yes,7382,0.19
Georgia Institute of Technology,Yes,36856,0.20600000000000002
Washington and Lee University,Yes,5855,0.212
Wellesley College,Yes,6395,0.21600000000000003
Boston University,Yes,64481,0.221
Colgate University,Yes,9951,0.226
University of North Carolina—​Chapel Hill,Yes,42466,0.226
University of Michigan—​Ann Arbor,Yes,64972,0.22899999999999998
Vassar College,Yes,8961,0.237
Rhode Island School of Design,Yes,3913,0.239
University of Virginia,Yes,40839,0.239
Grinnell College,Yes,7349,0.244
Babson College,Yes,6362,0.24
University of California—​Irvine,Yes,95568,0.265
University of Miami,Yes,38919,0.271
Boston College,Yes,35552,0.272
Villanova University,Yes,22909,0.282
University of Richmond,Yes,12356,0.28300000000000003
California State Polytechnic University—​San Luis Obispo,Yes,54072,0.284
Trinity University,Yes,9864,0.28800000000000003
Case Western Reserve University,Yes,26642,0.293
University of Rochester,Yes,20216,0.295
University of California—​Santa Barbara,Yes,93457,0.29600000000000004
Wake Forest University,Yes,12559,0.29600000000000004
Skidmore College,Yes,11102,0.3
University of California—​San Diego,Yes,97901,0.302
Franklin and Marshall College,Yes,9502,0.304
Brandeis University,Yes,11798,0.311
Lafayette College,Yes,8521,0.315
American University,Yes,18984,0.315
University of Texas—​Austin,Yes,53525,0.318
Scripps College,Yes,3022,0.32
Lehigh University,Yes,15649,0.321
Macalester College,Yes,6598,0.32299999999999995
Smith College,Yes,5597,0.325
Bryn Mawr College,Yes,3332,0.331
Trinity College (Hartford),Yes,6096,0.335
Denison University,Yes,8042,0.33899999999999997
